#,TITRE,CODE,MILESIME,PAYS,VILLE,LIEU,ADRESSE,Mode de vente,TYPE DE LIEU,COMMENTAIRE,PRIX INDICATIF (€),DATE,IMAGE,LATITUDE,LONGITUDE
UEFT_2023-3,CATHÉDRALE DE STRASBOURG,UEFT,2023-3,France,STRASBOURG,Office eurométropolitain de tourisme de Strasbourg,"17 Pl. de la Cathédrale, 67082 Strasbourg",,Boutique souvenirs,,,,,48.58197,7.749952
UEPV_2023-1,CATHÉDRALE NOTRE-DAME DE STRASBOURG,UEPV,2023-1,France,STRASBOURG,Office eurométropolitain de tourisme de Strasbourg,"17 Pl. de la Cathédrale, 67082 Strasbourg",,Office de Tourisme,,,,,48.58197,7.749952
UEPV_2022-2,CATHÉDRALE NOTRE-DAME DE STRASBOURG,UEPV,2022-2,France,STRASBOURG,Office eurométropolitain de tourisme de Strasbourg,"17 Pl. de la Cathédrale, 67082 Strasbourg",,Office de Tourisme,,,,,48.58197,7.749952
UEAX_2024-5,ARÈNES DE NÎMES,UEAX,2024-5,France,NÎMES,Arènes de Nîmes,"Bd des Arènes, 30000 Nîmes",Libre service,Monument,,,,,43.834871,4.359593
UEEJ_2024-2,MAISON CARRÉE DE NÎMES,UEEJ,2024-2,France,NÎMES,,,,,,,,,43.834871,4.359593
UEHL_2024-3,TOUR MAGNE - NIMES,UEHL,2024-3,France,NÎMES,,,,,,,,,43.834871,4.359593
UEWD_2022-3,LE MONT SAINT-MICHEL,UEWD,2022-3,France,MONT SAINT-MICHEL,,,,,,,,,48.63668,-1.510603
UEFA_2018-2,LES FÊTES DE SAINT-NICOLAS À NANCY,UEFA,2018-2,France,NANCY,Destination Nancy - Office de Tourisme Métropolitain,"Office de Tourisme, 1 Pl. Stanislas, 54000 Nancy",Libre service,Office de Tourisme,,,,,48.694298,6.181829
UEFA_2017-3,NANCY ART NOUVEAU,UEFA,2017-3,France,NANCY,Les Vitrines de Nancy,"Pl. André Maginot, 54000 Nancy",Libre service,Boutique souvenirs,,,,,48.694298,6.181829
UEVR_2021-1,DOUAI - CITE DES GEANTS,UEVR,2021-1,France,DOUAI,,,,,,,,,50.36784,3.081848
UEKY_2018-1,DUNKERQUEJEAN BART,UEKY,2018-1,France,DUNKERQUE,"Office de Tourisme et des Congrès Communautaire, accueil de Dunkerque","Le Beffroi, Rue de l'Amiral Ronarc'h, 59140 Dunkerque",,,,,,,43.613459,-0.301761
UEJW_2021-4,FALAISE D'ÉTRETAT - CÔTE D'ALBÂTRE,UEJW,2021-4,France,ETRETAT,Marché couvert d'Étretat,"16 Pl. Maréchal Foch, 76790 Étretat",,,,,,,49.707832,0.204112
XELV_2025-3,MERCEDES-BENZ MUSEUM - STUTTGART,XELV,2025-3,Allemagne,STUTTGART,,,,,,,,,48.77353,9.17742
XEJN_2024-1,SWR FERNSEHTURM STUTTGARTDER ERSTE DER WELT - SEIT 1956,XEJN,2024-1,Allemagne,STUTTGART,,,,,,,,,48.77353,9.17742
XEJE_2025-7,KÖLN - DIE STADT AM RHEIN,XEJE,2025-7,Allemagne,KÖLN,,"Komödienstraße 7, 50667 Köln, Allemagne",,Boutique souvenirs,,"4,00 €",28/12/2025,,50.941595,6.955766
NELN_2025-2,HUNDERTWASSERHAUS WIEN,NELN,2025-2,Autriche,WIEN,Hundertwasser Village,,,Monument,Boutique au fond du Hundertwasser Village,"4,00 €",28/12/2025,,48.180734,16.081672
NEAA_2025-1,KUNSTHAUSWIEN,NEAA,2025-1,Autriche,WIEN,KunstHausWien,,,Monument,Boutique souvenir du KunstHausWien musée,"2,00 €",28/12/2025,,48.180734,16.081672
EEAB_2025-2,BRATISLAVA,EEAB,2025-2,Slovaquie,BRATISLAVA,Souvenirs art and craft from bratislava,"Ventúrska 266/7, 811 01 Bratislava, Slovaquie",,Boutique souvenirs,"Boutique ""souvenirs art and craft from bratislava""","4,90 €",28/12/2025,,48.142865,17.106293
EEAB_2025-7,BRATISLAVA,EEAB,2025-7,Slovaquie,BRATISLAVA,Souvenirs art and craft from bratislava,"Ventúrska 266/7, 811 01 Bratislava, Slovaquie",,Boutique souvenirs,"Boutique ""souvenirs art and craft from bratislava""","4,90 €",28/12/2025,,48.142865,17.106293
EEAB_2025-12,BRATISLAVA,EEAB,2025-12,Slovaquie,BRATISLAVA,Souvenirs art and craft from bratislava,"Ventúrska 266/7, 811 01 Bratislava, Slovaquie",,Boutique souvenirs,"Boutique ""souvenirs art and craft from bratislava""","4,90 €",28/12/2025,,48.142865,17.106293
EEAB_2025-5,BRATISLAVA,EEAB,2025-5,Slovaquie,BRATISLAVA,Souvenirs art and craft from bratislava,"Ventúrska 266/7, 811 01 Bratislava, Slovaquie",,Boutique souvenirs,"Boutique ""souvenirs art and craft from bratislava""","4,90 €",28/12/2025,,48.142865,17.106293
EEAB_2024-4,BRATISLAVAMICHALSKÁ BRÁNA,EEAB,2024-4,Slovaquie,BRATISLAVA,Souvenirs art and craft from bratislava,"Ventúrska 266/7, 811 01 Bratislava, Slovaquie",,Boutique souvenirs,"Boutique ""souvenirs art and craft from bratislava""","4,90 €",28/12/2025,,48.142865,17.106293
EEAB_2025-5,BRATISLAVA,EEAB,2025-5,Slovaquie,BRATISLAVA,Souvenirs art and craft from bratislava,"Ventúrska 266/7, 811 01 Bratislava, Slovaquie",,Boutique souvenirs,"Boutique ""souvenirs art and craft from bratislava""","4,90 €",28/12/2025,,48.142865,17.106293
HUAH_2022-1,BUDAPEST,HUAH,2022-1,Hongrie,BUDAPEST,Memories of Hungary Váci utca Ajándékbolt,"Budapest, Váci u 14, 1052 Hungary",,Boutique souvenirs,"Chaine de boutique souvenirs, unique revendeurs sur Budapest","8,00 €",28/12/2025,,47.494617,19.052244
UEJQ_2018-1,LES 9 ECLUSES DE FONSERANES,UEJQ,2018-1,France,BÉZIERS,Office de Tourisme Béziers Méditerranée,"Place du Forum, 34500 Béziers",,Office de Tourisme,,,,,43.342591,3.212763
UEJQ_2018-1,LES 9 ECLUSES DE FONSERANES,UEJQ,2018-1,France,BÉZIERS,Office de Tourisme Béziers Méditerranée - Neuf Ecluses de Fonseranes,"Chem. des 9 Écluses, 34500 Béziers",,Office de Tourisme,,,,,43.329279,3.202017
UEJT_2025-3,MUSÉUM DE TOULOUSE,UEJT,2025-3,France,TOULOUSE,Muséum de Toulouse,"35 All. Jules Guesde, 31000 Toulouse",,Boutique souvenirs,,,,,43.594015,1.449183
XELS_2025-5,BERLIN - 2025,XELS,2025-5,Allemagne,BERLIN,Berlin Tourist Info - Berlin Hbf,"Europaplatz 1, 10557 Berlin, Germany",,Office de Tourisme,RDC / Entrée de la gare centrale de Berlin - Touriste info,"3,00 €",03/'01/2026,,52.52567,13.368487
XEPH_2024-1,BERLIN - BRANDENBURGER TOR,XEPH,2024-1,Allemagne,BERLIN,Berlin Tourist Info - Berlin Hbf,"Europaplatz 1, 10557 Berlin, Germany",,Office de Tourisme,RDC / Entrée de la gare centrale de Berlin - Touriste info,"3,00 €",03/'01/2026,,52.52567,13.368487
UEAA_2025-4,NOTRE-DAME-DE-LA-GARDE,UEAA,2025-4,France,MARSEILLE,Basilique Notre-Dame de la Garde,"Domaine Notre Dame de la Garde, Rue Fort du Sanctuaire, 13006 Marseille",Libre service,Monument,Boutique de la Basilique,"2,00 €",,,43.283298,5.37366
UEAA_2025-5,NOTRE-DAME-DE-LA-GARDE,UEAA,2025-5,France,MARSEILLE,Basilique Notre-Dame de la Garde,"Domaine Notre Dame de la Garde, Rue Fort du Sanctuaire, 13006 Marseille",Libre service,Monument,Boutique de la Basilique,"2,00 €",,,43.283298,5.37366
UENR_2024-1,MUCEM - FORT SAINT-JEAN,UENR,2024-1,France,MARSEILLE,Mucem - Musée des civilisations de l’Europe et de la Méditerranée,"1 Esp. J4, 13002 Marseille",Libre service,Musée,Boutique du musée,"2,00 €",,,43.296423,5.369639
UEGM_2023-2,MAISON DE LA MAGIE ROBERT-HOUDIN,UEGM,2023-2,France,BLOIS,Emaux de Blois,"3 Rue de la Voûte du Château, 41000 Blois",,Boutique souvenirs,,,,,47.586212,1.332049
UEAX_2025-6,GLADIATOR,UEAX,2025-6,France,NÎMES,Arènes de Nîmes,"Bd des Arènes, 30000 Nîmes",,Monument,Boutique du musée,,,,43.834806,4.358602
UEHY_2025-1,CHÂTEAU COMTAL DE CARCASSONNE,UEHY,2025-1,France,CARCASSONNE,Cité de Carcassonne,,Libre service,Monument,,,,,,
UEKQ_2024-1,CHÂTEAU DE PEYREPERTUSE,UEKQ,2024-1,France,DUILHAC-SOUS-PEYREPERTUSE,,,,,Boutique de la cité,,,,,
UEYW_2025-1,CHÂTEAU DE PAU,,,,PAU,La maison d’Henry IV,"2 Rue du Château, 64000 Pau",Libre service,Boutique souvenirs,,,,,,
UEGH_2025-1,DOMAINE NATIONAL DU CHÂTEAU D'ANGERS,UEGH,2025-1,France,ANGERS,,,,,,,,,,
GBAZ_2023-2,TOWER BRIDGE,GBAZ,2023-2,Royaume‑Uni,LONDON,Tower Bridge - Engine Rooms and Official Gift Shop,"Tower Bridge Rd, London SE1 2UP, Royaume-Uni",Libre service,Boutique souvenirs,,,,,,
UELD_2024-1,TRAIN DE L'ARDÈCHE,UELD,2024-1,France,TOURNON SAINT-JEAN,Train de l'Ardèche,"111 Rte du Grand Pont, 07300 Saint-Jean-de-Muzols",Libre service,Boutique souvenirs,,,,,,
UEEL_2024-2,PALAIS DES ROIS DE MAJORQUE ,UEEL,2024-2,France,PERPIGNAN,,,,,,,,,,
UEZE_2022-1,AIL FUMÉ D'ARLEUX,UEZE,2022-1,France,DOUAI,Office du Tourisme Douai,"1 Pl. d'Armes, 59500 Douai",,,,,,,,
UEEU_2025-12,AQUARIUM BIARRITZ,,2025-12,France,BIARRITZ,,,,,,,,,,
UEEU_2025-13,AQUARIUM BIARRITZ,UEEU,2025-13,France,BIARRITZ,,,,,,,,,,
UESS_2024-1,CATHÉDRALE DE BAYONNE,UESS,2024-1,France,BAYONNE,,,,,,,,,,
UEBK_2025-11,NAUSICAÀ,UEBK,2025-11,France,BOULOGNE SUR MER,Nausicaá Centre National De La Mer,"Bd Sainte-Beuve, 62200 Boulogne-sur-Mer",Distributeur CB,Musée,Distributeurs avant la boutique,,,,,
UEBK_2025-10,NAUSICAÀ,UEBK,2025-10,France,BOULOGNE SUR MER,Nausicaá Centre National De La Mer,"Bd Sainte-Beuve, 62200 Boulogne-sur-Mer",Distributeur CB,Musée,Distributeurs avant la boutique,,,,,
UEHZ_2025-3,HONFLEUR,,,,HONFLEUR,Tabac Presse des Logettes,"5 Rue des Logettes, 14600 Honfleur",,,,,,,,
UENF_2023-1,VILLA CAVROIS,UENF,2023-1,France,CROIX,Villa Cavrois,"60 Av. du Président John Fitzgerald Kennedy, 59170 Croix",,Boutique souvenirs,Boutique du musée,,,,,
